project,amt_2024_actual,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2026_tag_climate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Purchase of 1 Hp Printer For The Office Of The Office Local Government Auditor General,0.0,500000.0,500000.0,0.0,2365000.0,0.0,0.0,212,0.21895,0.23693,014000200100,BORNO STATE OFFICE OF THE LOCAL GOVERNMENT AUDITOR GENERAL,23010114,PURCHASE OF COMPUTER PRINTERS,70112,FINANCIAL AND FISCAL AFFAIRS,20822100,MAIDUGURI METRO,13100123007100,Reform of Government and Governance - General
Purchase of 1 Sharp Photocopying Machine For The Office of Auditor Gen LG,0.0,500000.0,500000.0,0.0,2500000.0,0.0,0.0,212,0.22712,0.2451,014000200100,BORNO STATE OFFICE OF THE LOCAL GOVERNMENT AUDITOR GENERAL,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70112,FINANCIAL AND FISCAL AFFAIRS,20822100,MAIDUGURI METRO,13100123007200,Reform of Government and Governance - General
Purchase of 1 Hp Scanner For The Office Auditor Gen LG,0.0,250000.0,250000.0,0.0,2500000.0,0.0,0.0,212,0.23529,0.25327,014000200100,BORNO STATE OFFICE OF THE LOCAL GOVERNMENT AUDITOR GENERAL,23010118,PURCHASE OF SCANNERS,70112,FINANCIAL AND FISCAL AFFAIRS,20822100,MAIDUGURI METRO,13100123007300,Reform of Government and Governance - General
Construction of one Office Block of In State Capital,0.0,40000000.0,40000000.0,35850000.0,53673000.0,0.0,0.0,212,0.24346,0.26144,014000200100,BORNO STATE OFFICE OF THE LOCAL GOVERNMENT AUDITOR GENERAL,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,13100122002600,Reform of Government and Governance - General
Construction of ICT Infrastructures For Internet Services in The Office Of The Local Government Auditor General,0.0,5000000.0,5000000.0,0.0,10000000.0,0.0,0.0,212,0.25163,0.26961,014000200100,BORNO STATE OFFICE OF THE LOCAL GOVERNMENT AUDITOR GENERAL,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,13100124006800,Reform of Government and Governance - General
Acquisition of Auditing Software in The Office Of Local Government Audit Office,0.0,3000000.0,3000000.0,0.0,15000000.0,0.0,0.0,212,0.2598,0.27778,014000200100,BORNO STATE OFFICE OF THE LOCAL GOVERNMENT AUDITOR GENERAL,23050102,COMPUTER SOFTWARE ACQUISITION,70112,FINANCIAL AND FISCAL AFFAIRS,20822100,MAIDUGURI METRO,13100123007400,Reform of Government and Governance - General
Purchase Of Power Generating Set Youger Sound Proof 150Kva For Local Government,0.0,0.0,0.0,0.0,120026000.0,0.0,0.0,212,0.26716,0.28513,014000200100,BORNO STATE OFFICE OF THE LOCAL GOVERNMENT AUDITOR GENERAL,23010119,PURCHASE OF POWER GENERATING SET,70112,FINANCIAL AND FISCAL AFFAIRS,20822100,MAIDUGURI METRO,13100126002500,Reform of Government and Governance - General
Purchase Of 5 Tables And 10 Chairs For Audit service commikssion office mmc,0.0,500000.0,13000000.0,0.0,3000000.0,0.0,0.0,212,0.30801,0.32598,014000300100,BORNO STATE AUDIT SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123007600,Reform of Government and Governance - General
Purchase Of 4 Hp Desktop Computers For The state Audit Commission mmc,0.0,1900000.0,500000.0,0.0,2500000.0,0.0,0.0,212,0.31536,0.33333,014000300100,BORNO STATE AUDIT SERVICE COMMISSION,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123007700,Reform of Government and Governance - General
Purchase Of 4 Hp Computer Printers Colour Machines For The State Audit Commission,0.0,500000.0,1900000.0,0.0,2000000.0,0.0,0.0,212,0.32353,0.3415,014000300100,BORNO STATE AUDIT SERVICE COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123007800,Reform of Government and Governance - General
Purchase Of 2 Sharp Colour Photocopying Machines For The State Audit Commission mmc,0.0,500000.0,1000000.0,0.0,2500000.0,0.0,0.0,212,0.3317,0.34967,014000300100,BORNO STATE AUDIT SERVICE COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123007900,Reform of Government and Governance - General
"Purchase Of Filling Cabinet For Secret, Open Registry & Fittings For Civil Service Commission",0.0,5000000.0,5000000.0,0.0,10000000.0,0.0,0.0,212,0.37173,0.38971,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100122002700,Reform of Government and Governance - General
Purchase Of Power Generating Set Youger Sound Proof 30Kva For Civil Service Commission,0.0,3000000.0,3000000.0,0.0,10000000.0,0.0,0.0,212,0.3799,0.39788,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010119,PURCHASE OF POWER GENERATING SET,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100122002800,Reform of Government and Governance - General
Construction Of Drainages at Civil Service Commission.,0.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,212,0.38807,0.40605,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70451,ROAD TRANSPORT,20822100,MAIDUGURI METRO,13100122002900,Reform of Government and Governance - General
Purchase of 1 HP Computer,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,212,0.39624,0.41422,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126002600,Reform of Government and Governance - General
Purchase of 1 HP Computer Printers,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,212,0.40441,0.42239,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126002700,Reform of Government and Governance - General
Purchase of 1 Hp Photocopy for office use,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,212,0.41258,0.43056,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126002800,Reform of Government and Governance - General
Purchase of 1 OF SHREDDING MACHINE,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,212,0.41993,0.43791,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010117,PURCHASE OF SHREDDING MACHINES,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126002900,Reform of Government and Governance - General
Purchase of Five (1) SCANNERS FOR OFFICE USED,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,212,0.4281,0.44608,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010118,PURCHASE OF SCANNERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126003000,Reform of Government and Governance - General
Purchase of 1 firefighting piece Equipment,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,212,0.43627,0.45425,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126003100,Reform of Government and Governance - General
Purchase Of 100Nos Cctv Cameras,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,212,0.44444,0.46242,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23010128,PURCHASE OF SECURITY EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126003200,Reform of Government and Governance - General
Rehabilitation of office headquarter,0.0,0.0,0.0,0.0,3201000.0,0.0,0.0,212,0.45261,0.47059,014700100100,BORNO STATE CIVIL SERVICE COMMISSION,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100126003300,Reform of Government and Governance - General
Purchase Of 4 Volkswagen Golf For Borno State Independent Electoral Commission,0.0,80000000.0,80000000.0,0.0,0.0,0.0,0.0,212,0.49265,0.51062,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010105,PURCHASE OF MOTOR VEHICLES,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121000700,Reform of Government and Governance - General
Purchase Of 2 Trucks For Borno State Independent Electoral Commission,0.0,20000000.0,20000000.0,0.0,0.0,0.0,0.0,212,0.50082,0.51879,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010107,PURCHASE OF TRUCKS,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121000800,Reform of Government and Governance - General
Purchase Of 2 Buses For Borno State Independent Electoral Commission,0.0,25000000.0,25000000.0,0.0,0.0,0.0,0.0,212,0.50899,0.52696,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010108,PURCHASE OF BUSES,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121000900,Reform of Government and Governance - General
Purchase Of 15 Tables And 15 Chairs For Borno State Independent Electoral Commission,0.0,20000000.0,20000000.0,0.0,22000000.0,0.0,0.0,212,0.51634,0.53431,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121001000,Reform of Government and Governance - General
Purchase Of 10 Hp Desktop Computers And 3 Hp Laptops For Borno State Independent Electoral Commission,0.0,10000000.0,10000000.0,0.0,10000000.0,0.0,0.0,212,0.52451,0.54248,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010113,PURCHASE OF COMPUTERS,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121001100,Reform of Government and Governance - General
Purchase Of 5 Hp Laser Jet Computer Printers For Borno State Independent Electoral Commission,1703000.0,2000000.0,2000000.0,1000000.0,2000000.0,0.0,0.0,212,0.53268,0.55065,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121001200,Reform of Government and Governance - General
Purchase Of 5 Sharp Photocopying Machines For Borno State Independent Electoral Commission,0.0,3000000.0,3000000.0,0.0,4000000.0,0.0,0.0,212,0.54085,0.55882,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121001300,Reform of Government and Governance - General
Purchase Of 2 3Kva Power Generating Set For Borno State Independent Electoral Commission,0.0,20000000.0,20000000.0,0.0,21000000.0,0.0,0.0,212,0.54902,0.56699,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23010119,PURCHASE OF POWER GENERATING SET,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100121001400,Reform of Government and Governance - General
"Monitoring, Evaluation & Observation Of Local Government Council Election Across The Country",0.0,10000000.0,10000000.0,0.0,15000000.0,0.0,0.0,212,0.55719,0.57516,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23050103,MONITORING AND EVALUATION,70161,GENERAL PUBLIC SERVICES N.E.C.,20842800,State wide,13100120000300,Reform of Government and Governance - General
Rehabilitation Of Office building For Borno State Independent Electoral Commission,0.0,30000000.0,30000000.0,0.0,150000000.0,0.0,0.0,212,0.56536,0.58333,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70621,COMMUNITY DEVELOPMENT,20822100,MAIDUGURI METRO,13100125000100,Reform of Government and Governance - General
Repairs of generators For Borno State Independent Electoral Commission,0.0,20000000.0,20000000.0,0.0,15000000.0,0.0,0.0,212,0.57271,0.59069,014800100100,BORNO STATE INDEPENDENT ELECTORAL COMMISSION,23030125,REHABILITATION/REPAIRS- POWER GENERATING PLANTS,70161,GENERAL PUBLIC SERVICES N.E.C.,20822100,MAIDUGURI METRO,13100125000200,Reform of Government and Governance - General
Purchase Of 1 Volkwagen Golf Wagon For The Local Government Service Commission,0.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0,212,0.61356,0.63154,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23010105,PURCHASE OF MOTOR VEHICLES,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100122003100,Reform of Government and Governance - General
Purchase Of 15 Nos of office chairs and 10 Nos of office tables Within The Local Government Service Commission,0.0,3500000.0,3500000.0,1944000.0,20000000.0,0.0,0.0,212,0.62092,0.63889,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123008100,Reform of Government and Governance - General
Purchase Of 3 Desktop Computers For Local Government Service Commission,1150000.0,5000000.0,5000000.0,880000.0,5000000.0,0.0,0.0,212,0.62908,0.64706,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123008200,Reform of Government and Governance - General
Purchase Of 1 Hp Printers For Local Government Service Commission,0.0,500000.0,500000.0,500000.0,1000000.0,0.0,0.0,212,0.63725,0.65523,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123008300,Reform of Government and Governance - General
Purchase Of 1 Sharp Photocopying Machine For Local Government Service Commission,0.0,500000.0,500000.0,500000.0,1000000.0,0.0,0.0,212,0.64542,0.6634,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123008400,Reform of Government and Governance - General
Purchase Of 1 Hp Scanners For Local Government Service Commission,0.0,500000.0,500000.0,350000.0,500000.0,0.0,0.0,212,0.65359,0.67157,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23010118,PURCHASE OF SCANNERS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100123008500,Reform of Government and Governance - General
Purchase Of 1 Elepaq 3Kva Generator For Local Government Service Commission,0.0,10000000.0,10000000.0,0.0,80000000.0,0.0,0.0,212,0.66176,0.67974,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23010119,PURCHASE OF POWER GENERATING SET,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100124006900,Reform of Government and Governance - General
Provision Of Buildings (Staff Quarters/Guest House) for Local Government Service Commission,0.0,20000000.0,20000000.0,2166800.0,173201000.0,0.0,0.0,212,0.66912,0.68709,014900100100,BORNO STATE LOCAL GOVERNMENT SERVICE COMMISSION,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20822100,MAIDUGURI METRO,13100124007000,Reform of Government and Governance - General
Purchase Of Office Buildings Within Jere and Maiduguri Metropolis Lga'S In The State,0.0,15500000.0,15500000.0,0.0,60000000.0,0.0,0.0,212,0.70997,0.72794,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010102,PURCHASE OF OFFICE BUILDINGS,71021,OLD AGE,20821300,JERE,13100122003400,Reform of Government and Governance - General
"Purchase Of Varoius Office Furniture And Fittings With The Local Government Pension Board (10 Executive tables and 10 executive chairs,20 visitors chairs)",0.0,7000000.0,7000000.0,0.0,7000000.0,0.0,0.0,212,0.71814,0.73611,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123008800,Reform of Government and Governance - General
Purchase Of 4 Hp Desktop Computers And 2 Hp Laptops For Staff In Local Government Pension Board,0.0,7000000.0,57000000.0,0.0,7000000.0,0.0,0.0,212,0.72549,0.74346,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010113,PURCHASE OF COMPUTERS,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123008900,Reform of Government and Governance - General
Purchase Of 3 Hp Laser Jet Computer Printers For Local Government Pension Board,0.0,2000000.0,2000000.0,0.0,2000000.0,0.0,0.0,212,0.73366,0.75163,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010114,PURCHASE OF COMPUTER PRINTERS,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123009000,Reform of Government and Governance - General
Purchase Of 2 Sharp Photocopying Machines For the Local Government Pension Board,0.0,2000000.0,2000000.0,0.0,2000000.0,0.0,0.0,212,0.74183,0.7598,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010115,PURCHASE OF PHOTOCOPYING MACHINES,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123009100,Reform of Government and Governance - General
Purchase Of 2 Shredding Machines For The Local Government Pension Board,0.0,200000.0,200000.0,0.0,1250000.0,0.0,0.0,212,0.75,0.76797,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010117,PURCHASE OF SHREDDING MACHINES,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123009200,Reform of Government and Governance - General
Purchase Of 3 Hp Scanners For Local Government Pension Board,0.0,1550000.0,1550000.0,0.0,2000000.0,0.0,0.0,212,0.75817,0.77614,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010118,PURCHASE OF SCANNERS,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123009300,Reform of Government and Governance - General
Purchase Of 1 7.5Kvapower Generating Set Local Government Pension Board,0.0,5000000.0,5000000.0,0.0,9000000.0,0.0,0.0,212,0.76634,0.78431,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23010119,PURCHASE OF POWER GENERATING SET,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123009400,Reform of Government and Governance - General
Computer Software Acquisition For Use Within the Local Government Pension Board,0.0,5750000.0,5750000.0,0.0,5750000.0,0.0,0.0,212,0.77369,0.79167,014900200100,BORNO STATE LOCAL GOVERNMENT STAFF PENSIONS BOARD,23050102,COMPUTER SOFTWARE ACQUISITION,71021,OLD AGE,20822100,MAIDUGURI METRO,13100123009500,Reform of Government and Governance - General
Rehabilitation Of 3No of Agro Service Centres and Workshop Buildings across the State,0.0,10000000.0,10000000.0,0.0,20000000.0,0.0,0.0,212,0.81454,0.83252,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23010105,PURCHASE OF MOTOR VEHICLES,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010224000100,Agriculture sector coordination mechanisms
Purchase Of 1Nos. of Refurbished Toyota Van For The Ministry Of Agriculture and Natural Resources.,950000000.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,212,0.8219,0.83987,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23010106,PURCHASE OF VANS,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010224000200,Agriculture sector coordination mechanisms
Purchase Of 3Nos. of Trucks For The Ministry Of Agriculture and Natural Resources.,500000000.0,50000000.0,50000000.0,0.0,500000000.0,0.0,0.0,212,0.83007,0.84804,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23010107,PURCHASE OF TRUCKS,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010224000300,Agriculture sector coordination mechanisms
"Purchase Of 3Nos. of Tractors, 4Nos. of Harrows, 3 Nos. of Ploughs, 5Nos. of Grain Threshers For The Ministry Of Agriculture and Natural Resources.",1500000000.0,500000000.0,500000000.0,0.0,1000000000.0,0.0,0.0,212,0.83824,0.85621,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23010127,PURCHASE OF AGRICULTURAL EQUIPMENT,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010224000100,Agriculture sector coordination mechanisms
Purchase Of (6) Sd16 Dozzers in Maiduguri Metropolitan Council LGA.,0.0,500000000.0,500000000.0,0.0,1000000000.0,0.0,0.0,212,0.84641,0.86438,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23010139,PURCHASE OF HEAVY DUTY PLANTS & MACHINERIES,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010222000100,Agriculture sector coordination mechanisms
Construction Of 3Nos. offices of Agro-Service Centre In Across The 3 Senatorial Zones In The State,0.0,10000000.0,3000000000.0,0.0,50000000.0,0.0,0.0,212,0.85458,0.87255,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,20842800,State wide,01010222000100,Agriculture sector coordination mechanisms
"Construction Of 6Nos. of High Capacity Earth Dams And Boreholes 2 Each Across Bama, Dikwa, Monguno, Mafa, Chibok, Nganzai, And Hawaul LGAs.",725555550.0,200000000.0,10000000.0,0.0,200000000.0,0.0,0.0,212,0.86275,0.88072,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70631,WATER SUPPLY,20822100,MAIDUGURI METRO,01010222000100,Agriculture sector coordination mechanisms
Provision Of Seeds Cleaning For The Ministry Of Agriculture and Natural Resources.,0.0,500000000.0,200000000.0,200000000.0,2750000000.0,0.0,0.0,212,0.87092,0.88889,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010224000200,Agriculture sector coordination mechanisms
"Provision of Grading, And Chemicals For Insects Control For The Ministry Of Agriculture and Natural Resources.",0.0,10000000.0,500000000.0,35000000.0,2750000000.0,0.0,0.0,212,0.87827,0.89624,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,20842800,State wide,01010224000100,Agriculture sector coordination mechanisms
Construction Of 15Km Rural Roads For The Ministry Of Agriculture and Natural Resources.,0.0,200000000.0,10000000.0,0.0,3134289500.0,0.0,0.0,212,0.88644,0.90441,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,20842800,State wide,01010224000100,Agriculture sector coordination mechanisms
Construction Of 10Km Rural Roads For The Ministry Of Agriculture and Natural Resources.,0.0,100000000.0,200000000.0,8428432.0,3134289500.0,0.0,0.0,212,0.89461,0.91258,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,20822100,MAIDUGURI METRO,01010222000100,Agriculture sector coordination mechanisms
"Construction Of 4No of Warehouses, Maize Milling Machines And Storage Facilities Across The LGAs.",0.0,500000000.0,100000000.0,0.0,200000000.0,0.0,0.0,212,0.90278,0.92075,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70621,COMMUNITY DEVELOPMENT,20842800,State wide,01010222000100,Agriculture sector coordination mechanisms
"Rehabilitation Of 5No of Existing Earth Dams, Boreholes And Sustainable Water Supply In Auno area",0.0,10000000.0,500000000.0,0.0,2100000000.0,0.0,0.0,213,0.09069,0.10866,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70631,WATER SUPPLY,20822100,MAIDUGURI METRO,01010222000100,Agriculture sector coordination mechanisms
Rehabilitation Of 5No of Existing Earth Dams In Mainok area,0.0,30000000.0,10000000.0,0.0,2100000000.0,0.0,0.0,213,0.09886,0.11683,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23030104,REHABILITATION / REPAIRS - WATER FACILITIES,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010222100000,Agriculture sector coordination mechanisms
"Rehabilitation Of 15No of Tractors, Implements and Rice Mills across the state.",0.0,50000000.0,30000000.0,0.0,500000000.0,0.0,0.0,213,0.10621,0.12418,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23030112,REHABILITATION / REPAIRS - AGRICICULTURAL FACILITIES,70421,AGRICULTURE,20822100,MAIDUGURI METRO,01010222000200,Agriculture sector coordination mechanisms
Rehabilitation Of 3No of Agro Service Centres and Workshop Buildings across the State,811450000.0,50000000.0,50000000.0,0.0,150000000.0,0.0,0.0,213,0.11438,0.13235,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70611,HOUSING DEVELOPMENT,20822100,MAIDUGURI METRO,01010224000500,Agriculture sector coordination mechanisms
"Rehabilitation Of 1No of Power Generating Plants For Offices And Farms In Amarwa, Damasak And Konduga LGAs.",0.0,6000000.0,50000000.0,0.0,100000000.0,0.0,0.0,213,0.12255,0.14052,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23030125,REHABILITATION/REPAIRS- POWER GENERATING PLANTS,70435,ELECTRICITY,20842800,State wide,01010222000100,Agriculture sector coordination mechanisms
Establishment Of 4No of Research/Knowledge And Data Management In Consumer Demand/Consumption Trends In The State,318135029.25,0.0,500000000.0,415158000.0,200000000.0,0.0,0.0,213,0.13072,0.14869,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23050101,RESEARCH AND DEVELOPMENT,70421,AGRICULTURE,20842800,State wide,01010221000100,Agriculture sector coordination mechanisms
"Establishment Of 10No of Comprehensive Information Database For Weather, Agricultural Opportunities With Push Notification System For Farmers And Agricultural Entrepreneurs In The State",0.0,0.0,20224000000.0,21417197379.09,200000000.0,0.0,0.0,213,0.13889,0.15686,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23050103,MONITORING AND EVALUATION,70421,AGRICULTURE,20842800,State wide,01010224000300,Agriculture sector coordination mechanisms
"NUT.2.FNS.1.2. 1. Provide Support to increase hectarage of land under cultivation of crops, livestock farming and fisheries through Government, communities and individuals",0.0,0.0,6000000.0,0.0,1000000000.0,0.0,1000000000.0,213,0.14706,0.16503,021500100100,MINISTRY OF AGRICULTURE AND NATURAL RESOURCES,23020113,CONSTRUCTION / PROVISION OF AGRICULTURAL FACILITIES,70421,AGRICULTURE,20842800,State wide,01010226000100,Agriculture sector coordination mechanisms
