project,amt_2025_approved,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Rehablitation of existing Office Building at Local Government Pension Board.,45000000.0,45000000.0,0.0,0.0,0.0,328,0.84156,0.86004,012500400100,LOCAL GOVERNMENT PENSION BOARD,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,71021,OLD AGE,20530200,BAUCHI,13100125000700,Reform of Government and Governance - General
constuction and provision of ICT facilities for Data Capturing of Pensioneers and storage of Historical data at the Local Government Pension Board,45000000.0,45000000.0,0.0,0.0,0.0,328,0.85248,0.87096,012500400100,LOCAL GOVERNMENT PENSION BOARD,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,71021,OLD AGE,20530200,BAUCHI,13100125000800,Reform of Government and Governance - General
Construction of Office Complex for the Audit Headquater in Bauchi,250000000.0,250000000.0,0.0,355594126.8,0.0,329,0.09323,0.1117,014000100100,OFFICE OF STATE AUDITOR GENERAL,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70112,FINANCIAL AND FISCAL AFFAIRS,20530200,BAUCHI,13100123012600,Reform of Government and Governance - General
"Purchase of 4 Nos. of Executive Cushions, 10 Nos. of Table and 10 nos. of office Chairs for State Audit Office.",31000000.0,31000000.0,0.0,50226085.72,0.0,329,0.10415,0.12262,014000100100,OFFICE OF STATE AUDITOR GENERAL,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70112,FINANCIAL AND FISCAL AFFAIRS,20530200,BAUCHI,13100123012800,Reform of Government and Governance - General
Acquision of Computer Audit Software Package for Auditing Purposes at the Office of the State Auditor General,35000000.0,35000000.0,0.0,32952585.3,0.0,329,0.11506,0.13354,014000100100,OFFICE OF STATE AUDITOR GENERAL,23050102,COMPUTER SOFTWARE ACQUISITION,70112,FINANCIAL AND FISCAL AFFAIRS,20530200,BAUCHI,13100123012900,Reform of Government and Governance - General
Renovation and Repairs of Existing Office Building at Office of Auditor General for Local Government Headquarters Bauchi,20000000.0,20000000.0,0.0,25000000.0,0.0,329,0.16798,0.18645,014000200100,OFFICE OF AUDITOR GEN. FOR LOCAL GOVERNMENT,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70112,FINANCIAL AND FISCAL AFFAIRS,20530200,BAUCHI,13100123013000,Reform of Government and Governance - General
Construction of New Audit Office at Dass LGA Area Office,15000000.0,15000000.0,0.0,20000000.0,0.0,329,0.1789,0.19737,014000200100,OFFICE OF AUDITOR GEN. FOR LOCAL GOVERNMENT,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70112,FINANCIAL AND FISCAL AFFAIRS,20530600,DASS,13100123013000,Reform of Government and Governance - General
"Purchase of 3 Nos. Executive Cushions, 5 Nos. Office Tables and 8 Nos. of Chairs for Office of the Autor General for Local Governemnt .",25000000.0,25000000.0,0.0,28000000.0,0.0,329,0.18981,0.20829,014000200100,OFFICE OF AUDITOR GEN. FOR LOCAL GOVERNMENT,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70112,FINANCIAL AND FISCAL AFFAIRS,20530200,BAUCHI,13100123013000,Reform of Government and Governance - General
Costruction of New Office Building for Audit Service Commission within the Audit Office Complex Bauchi,52000000.0,52000000.0,0.0,120170885.25,0.0,329,0.24273,0.2612,014000300100,AUDIT SERVICE COMMISSION,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20542400,STATE WIDE,13100123012200,Reform of Government and Governance - General
Provisions of 6 Nos. of Office Chairs and 6 Nos. of Office Tables for the Staff of Audit Service Commission,6000000.0,6000000.0,0.0,10150200.65,0.0,329,0.25365,0.27212,014000300100,AUDIT SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20542400,STATE WIDE,13100123012400,Reform of Government and Governance - General
Purchase and Acquisition of 14 Nos. of Laptop and 3 Nos. of Desktop for installation of Audit Computer Software,7000000.0,7000000.0,0.0,0.0,0.0,329,0.26456,0.28304,014000300100,AUDIT SERVICE COMMISSION,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,20542400,STATE WIDE,13100123012500,Reform of Government and Governance - General
Costruction of New Office Building at Civil Service Commission Headquarter,20000000.0,20000000.0,0.0,250000000.0,0.0,329,0.31832,0.33679,014700100100,CIVIL SERVICE COMMISSION,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005300,Reform of Government and Governance - General
Drilling of a Well at Civil Service Commission Office HQ Bauchi,1000000.0,1000000.0,0.0,2500000.0,0.0,329,0.32839,0.34687,014700100100,CIVIL SERVICE COMMISSION,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005400,Reform of Government and Governance - General
"Provision of 5,000 Gallon Over-Head Tank for Water Supply at the CSC Office HQ",10000000.0,10000000.0,0.0,20000000.0,0.0,329,0.33931,0.35779,014700100100,CIVIL SERVICE COMMISSION,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005500,Reform of Government and Governance - General
Renovation and Repairs of Existing Offices at Civiil Service Commission Office HQ,30000000.0,30000000.0,0.0,35000000.0,0.0,329,0.35023,0.36871,014700100100,CIVIL SERVICE COMMISSION,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005600,Reform of Government and Governance - General
Acquisition of Application Software for Record Keeping at Civil Service Commission,20000000.0,20000000.0,0.0,35000000.0,0.0,329,0.36031,0.37879,014700100100,CIVIL SERVICE COMMISSION,23050102,COMPUTER SOFTWARE ACQUISITION,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005700,Reform of Government and Governance - General
Construction and Installation of Solar Power equipment for the supply of Electricity at Civil Service Commission.,0.0,0.0,0.0,25000000.0,0.0,329,0.37123,0.38971,014700100100,CIVIL SERVICE COMMISSION,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005800,Reform of Government and Governance - General
Purchase of 5 Nos. Office Chairs and 5 Nos. of Office Table for LGSC's Office Bauchi,5000000.0,5000000.0,0.0,5000000.0,0.0,329,0.42498,0.44346,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005800,Reform of Government and Governance - General
Purchase of 50 Nos. Conference Hall Table and 50 Nos. of Chairs at LGSC Office Bauchi,4500000.0,4500000.0,0.0,4500000.0,0.0,329,0.43506,0.45354,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005900,Reform of Government and Governance - General
Purchase of 5 Laptop Computers for Staff of the LGSC's Office Bauchi,13000000.0,13000000.0,0.0,0.0,0.0,329,0.44598,0.46446,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006000,Reform of Government and Governance - General
Purchase of 2 Printers for LGSC's Office Bauchi,3000000.0,3000000.0,0.0,0.0,0.0,329,0.4569,0.47537,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006100,Reform of Government and Governance - General
Purchase of 2 Photocopy Machines for LGSC's Office Bauchi,1000000.0,1000000.0,0.0,0.0,0.0,329,0.46782,0.48629,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006200,Reform of Government and Governance - General
Purchase of 3 Scanners for LGSC's Office Bauchi,800000.0,800000.0,0.0,0.0,0.0,329,0.47789,0.49637,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010118,PURCHASE OF SCANNERS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006300,Reform of Government and Governance - General
Purchase of 2 Nos. 60 (KVA) Power Generating Sets,20000000.0,20000000.0,0.0,0.0,0.0,329,0.48881,0.50729,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010119,PURCHASE OF POWER GENERATING SET,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006400,Reform of Government and Governance - General
Purchase of 3 Nos. of Security Dictectors and other Security facilities for LGSC's Office Bauchi,2500000.0,2500000.0,0.0,2500000.0,0.0,329,0.49973,0.51821,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010128,PURCHASE OF SECURITY EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006500,Reform of Government and Governance - General
Provision of ICT Infrastructure at Local Government Service Commission Office Bauchi,50000000.0,50000000.0,0.0,50000000.0,0.0,329,0.51065,0.52913,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006700,Reform of Government and Governance - General
Provision and Acquisition of Web-Site and Saver for Internet facilities at LGSC's Office Bauchi,2000000.0,2000000.0,0.0,0.0,0.0,329,0.52073,0.53921,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23050102,COMPUTER SOFTWARE ACQUISITION,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006800,Reform of Government and Governance - General
Construction of New Office Building at Local Government Service Commission Office,10000000.0,10000000.0,0.0,20000000.0,0.0,329,0.53165,0.55012,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006900,Reform of Government and Governance - General
Purchase of 5 Nos. Office Chairs and 5 Nos. of Office Table for LGSC's Office Bauchi,5000000.0,5000000.0,0.0,8500000.0,0.0,329,0.54257,0.56104,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005800,Reform of Government and Governance - General
Purchase of 50 Nos. Conference Hall Table and 50 Nos. of Chairs at LGSC Office Bauchi,4500000.0,4500000.0,0.0,0.0,0.0,329,0.55264,0.57112,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123005900,Reform of Government and Governance - General
Purchase of 5 Laptop Computers for Staff of the LGSC's Office Bauchi,13000000.0,13000000.0,0.0,0.0,0.0,329,0.56356,0.58204,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010113,PURCHASE OF COMPUTERS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006000,Reform of Government and Governance - General
Purchase of 2 Printers for LGSC's Office Bauchi,3000000.0,3000000.0,0.0,0.0,0.0,329,0.57448,0.59296,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006100,Reform of Government and Governance - General
Purchase of 2 Photocopy Machines for LGSC's Office Bauchi,1000000.0,1000000.0,0.0,0.0,0.0,329,0.5854,0.60388,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006200,Reform of Government and Governance - General
Purchase of 3 Scanners for LGSC's Office Bauchi,800000.0,800000.0,0.0,0.0,0.0,329,0.59548,0.61396,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010118,PURCHASE OF SCANNERS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006300,Reform of Government and Governance - General
Purchase of 2 Nos. 60 (KVA) Power Generating Sets,20000000.0,20000000.0,0.0,10000000.0,0.0,329,0.6064,0.62487,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010119,PURCHASE OF POWER GENERATING SET,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006400,Reform of Government and Governance - General
Purchase of 3 Nos. of Security Dictectors and other Security facilities for LGSC's Office Bauchi,2500000.0,2500000.0,0.0,2000000.0,0.0,329,0.61732,0.63579,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23010128,PURCHASE OF SECURITY EQUIPMENT,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006500,Reform of Government and Governance - General
Provision of ICT Infrastures for Local Government Area Councils,50000000.0,50000000.0,0.0,30000000.0,0.0,329,0.62823,0.64671,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006700,Reform of Government and Governance - General
Provision and Acquisition of Web-Site and Saver for Internet facilities at LGSC's Office Bauchi,2000000.0,2000000.0,0.0,0.0,0.0,329,0.63831,0.65679,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006800,Reform of Government and Governance - General
Construction of New Office Building at Local Government Service Commission Office,10000000.0,10000000.0,0.0,5000000.0,0.0,329,0.64923,0.66771,014900100100,LOCAL GOVERNMENT SERVICE COMMISSION,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,20530200,BAUCHI,13100123006900,Reform of Government and Governance - General
Purchase of 10 nos Motorcycles at SIEC Headquarters,15000000.0,15000000.0,0.0,15000000.0,0.0,329,0.70298,0.72146,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23010104,PURCHASE MOTOR CYCLES,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100114901100,Reform of Government and Governance - General
Purchase of 6 New Hilux Motor Vehicle for Election Purposes SIEC Headquarters,156000000.0,156000000.0,0.0,156000000.0,0.0,329,0.71306,0.73154,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23010105,PURCHASE OF MOTOR VEHICLES,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100114901200,Reform of Government and Governance - General
Purchase of 4 nos. of Desktop Computers for Staff at SIEC Headquarters,2500000.0,2500000.0,0.0,3000000.0,0.0,329,0.72398,0.74246,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23010113,PURCHASE OF COMPUTERS,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100114901300,Reform of Government and Governance - General
Purchase of 4 nos. of Computer Printers at SIEC Headquarters,2500000.0,2500000.0,0.0,3000000.0,0.0,329,0.7349,0.75338,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100114901400,Reform of Government and Governance - General
purchase of 3 nos. of photocopying machines at SIEC Headquarters,15000000.0,15000000.0,0.0,15000000.0,0.0,329,0.74498,0.76345,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100114901500,Reform of Government and Governance - General
purchase of 2 Nos. of fire extinguishers and other fire fighting equipment at SIEC Headquarters,100000.0,100000.0,0.0,300000.0,0.0,329,0.7559,0.77437,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23010123,PURCHASE OF FIRE FIGHTING EQUIPMENT,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100114901600,Reform of Government and Governance - General
Provisions of Election Structures (Boot Camp Materials) for Election purposes across 20 LGAs of the State.,242916150.0,242916150.0,44154800.0,50000000.0,0.0,329,0.76681,0.78529,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70161,GENERAL PUBLIC SERVICES N.E.C.,20542400,STATE WIDE,13100114901700,Reform of Government and Governance - General
Provisions of Election facilities and Materials for Election purposes Across the 20 LGAs of the State,98345000.0,98345000.0,0.0,200000000.0,0.0,329,0.77773,0.79621,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70161,GENERAL PUBLIC SERVICES N.E.C.,20542400,STATE WIDE,13100114901800,Reform of Government and Governance - General
Renovation and Repairs of Existing SIEC Headquarter Office Building at Bauchi,0.0,0.0,0.0,63000000.0,0.0,329,0.78781,0.80629,014800100100,STATE INDEPENDENT ELECTORAL COMMISSION,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70161,GENERAL PUBLIC SERVICES N.E.C.,20530200,BAUCHI,13100114901900,Reform of Government and Governance - General
Procurement of (25KVA) Generating Set at S.D.I Ningi,30000000.0,30000000.0,0.0,0.0,0.0,329,0.84156,0.86004,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23010119,PURCHASE OF POWER GENERATING SET,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20511500,NINGI,02100123000100,Societal Re-orientation - General
Provision of Skill Acquisition Equipment for empowerment,5000000.0,5000000.0,0.0,0.0,0.0,329,0.85248,0.87096,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123000200,Societal Re-orientation - General
"construction of school auditorium, male hostels and wall fencing of S.D.I ningi",30000000.0,30000000.0,0.0,0.0,0.0,329,0.86256,0.88104,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20511500,NINGI,02100123000300,Societal Re-orientation - General
Construction of office Building for Skill Acquisition at Misau Local Government,150000000.0,150000000.0,0.0,0.0,0.0,329,0.87348,0.89196,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20511400,MISAU,02100123000400,Societal Re-orientation - General
Rehabilitation and Repairs of Existing Cemetries Across the State,50000000.0,50000000.0,0.0,250000000.0,0.0,329,0.8844,0.90288,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23030126,REHABILITATION/REPAIRS OF CEMETERIES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123000500,Societal Re-orientation - General
Construction of New Cemetries Across the State,70000000.0,70000000.0,2458000.0,500000000.0,0.0,329,0.89532,0.91379,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23020126,CONSTRUCTION/PROVISION OF CEMETERIES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123000600,Societal Re-orientation - General
Renovation and Repairs of Existing zonal offices across the state,30000000.0,30000000.0,0.0,30000000.0,0.0,330,0.09323,0.1117,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123000700,Societal Re-orientation - General
Acquisition of Application Software for Record Keeping at Existing Cementries across the State,5000000.0,5000000.0,0.0,5000000.0,0.0,330,0.10415,0.12262,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23050102,COMPUTER SOFTWARE ACQUISITION,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123000800,Societal Re-orientation - General
Supervison and Monitoring of programmes and projects under Ministry of Religion Affairs,30000000.0,30000000.0,0.0,30000000.0,0.0,330,0.11506,0.13354,017100100100,MINISTRY OF RELIGIOUS AFFAIRS,23050103,MONITORING AND EVALUATION,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123000900,Societal Re-orientation - General
Construction of New Office Complexes one in each of the 3 Senatorial Districts of the State.,60000000.0,60000000.0,0.0,75000000.0,0.0,330,0.16798,0.18645,017100200100,BAUCHI STATE SHARIAH COMMISSION,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123001100,Societal Re-orientation - General
Provision of 20 nos. Office Chairs and 20 nos. Tables for Shariah Commission Office,25000000.0,25000000.0,11137600.0,30000000.0,0.0,330,0.1789,0.19737,017100200100,BAUCHI STATE SHARIAH COMMISSION,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001200,Societal Re-orientation - General
Purchase of 6 nos. of Desktop Computers for Shariah Commission Office,5000000.0,5000000.0,2800000.0,0.0,0.0,330,0.18981,0.20829,017100200100,BAUCHI STATE SHARIAH COMMISSION,23010113,PURCHASE OF COMPUTERS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001300,Societal Re-orientation - General
Purchase of 3 nos. of Computers Printers,1500000.0,1500000.0,520000.0,0.0,0.0,330,0.20073,0.21921,017100200100,BAUCHI STATE SHARIAH COMMISSION,23010114,PURCHASE OF COMPUTER PRINTERS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001400,Societal Re-orientation - General
Purchase of a Photocopying Machine at Shariah Commission,1000000.0,1000000.0,0.0,0.0,0.0,330,0.21081,0.22929,017100200100,BAUCHI STATE SHARIAH COMMISSION,23010115,PURCHASE OF PHOTOCOPYING MACHINES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001500,Societal Re-orientation - General
Purchase of 2 nos. of Scanners Machines at Shariah Commission,500000.0,500000.0,600000.0,0.0,0.0,330,0.22173,0.24021,017100200100,BAUCHI STATE SHARIAH COMMISSION,23010118,PURCHASE OF SCANNERS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001600,Societal Re-orientation - General
Purchase of 20 Nos. Motorcycles for Monitoring activities at Shariah Commission,30000000.0,30000000.0,0.0,40000000.0,0.0,330,0.23265,0.25113,017100200100,BAUCHI STATE SHARIAH COMMISSION,23010104,PURCHASE MOTOR CYCLES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001700,Societal Re-orientation - General
Construction and Installation of Solar Power equipment for the supply of Electricity at Shariah Commission.,7000000.0,7000000.0,2000000.0,10000000.0,0.0,330,0.24273,0.2612,017100200100,BAUCHI STATE SHARIAH COMMISSION,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001800,Societal Re-orientation - General
Purchase of 24 nos. Walking Talking Equipment for Security operations,6500000.0,6500000.0,8528800.0,8500000.0,0.0,330,0.25365,0.27212,017100200100,BAUCHI STATE SHARIAH COMMISSION,23010128,PURCHASE OF SECURITY EQUIPMENT,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20530200,BAUCHI,02100123001900,Societal Re-orientation - General
"Provision of 2,500 nos. of Travelling Bags for Pilgrimage Activity",50000000.0,50000000.0,0.0,50000000.0,0.0,330,0.3074,0.32588,017100300100,MUSLIMS PILGRIMS WELFARE BOARD,23010150,PURCHASE OF SUIT CASES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123001700,Societal Re-orientation - General
Purchase of 4 nos. of Desktop Computers for Muslims Pilgrims Welfare Board,3000000.0,3000000.0,0.0,3000000.0,0.0,330,0.31832,0.33679,017100300100,MUSLIMS PILGRIMS WELFARE BOARD,23010113,PURCHASE OF COMPUTERS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123001800,Societal Re-orientation - General
Repairs of 20 nos. of water system toilet facilites at the Hajj Camp Bauchi,80000000.0,80000000.0,0.0,60000000.0,0.0,330,0.32839,0.34687,017100300100,MUSLIMS PILGRIMS WELFARE BOARD,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123001900,Societal Re-orientation - General
Construction of Modern Pit-Latrine and closset for Sanitation at the Hajj Camp Bauchi,30000000.0,30000000.0,0.0,30000000.0,0.0,330,0.33931,0.35779,017100300100,MUSLIMS PILGRIMS WELFARE BOARD,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123002000,Societal Re-orientation - General
Construction and Provision of Solar Power for the supply of Electricity at Hajj Camp Bauchi.,40000000.0,40000000.0,0.0,60000000.0,0.0,330,0.35023,0.36871,017100300100,MUSLIMS PILGRIMS WELFARE BOARD,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100125001200,Societal Re-orientation - General
Construction and Provision 5 nos. of Borehole for Water Supply at the Hajj Camp Bauchi,25000000.0,25000000.0,0.0,25000000.0,0.0,330,0.36031,0.37879,017100300100,MUSLIMS PILGRIMS WELFARE BOARD,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100125001300,Societal Re-orientation - General
Acqusition of Land for the Construction of New Office Complex in Bauchi,30000000.0,30000000.0,0.0,40000000.0,0.0,330,0.41406,0.43254,017100400100,CHRISTIAN PILGRIMS WELFARE BOARD,23010101,PURCHASE / ACQUISITION OF LAND,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123002100,Societal Re-orientation - General
Provision of 20 nos. of Office Chairs and 20 nos. of Tables for Christain Pilgrims Welfare Office at Bauchi,10000000.0,10000000.0,0.0,18000000.0,0.0,330,0.42498,0.44346,017100400100,CHRISTIAN PILGRIMS WELFARE BOARD,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123002200,Societal Re-orientation - General
Purchase of 6 nos. of Desktop Computers for Christian Pilgrims Welfare Board,8000000.0,8000000.0,0.0,10000000.0,0.0,330,0.43506,0.45354,017100400100,CHRISTIAN PILGRIMS WELFARE BOARD,23010113,PURCHASE OF COMPUTERS,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123002300,Societal Re-orientation - General
Provision of 200 Travelling Bags for Pilgrimage Activity at Christain Welfare Board,6940000.0,6940000.0,0.0,7500000.0,0.0,330,0.44598,0.46446,017100400100,CHRISTIAN PILGRIMS WELFARE BOARD,23010150,PURCHASE OF SUIT CASES,70841,RELIGIOUS AND OTHER COMMUNITY SERVICES,20542400,STATE WIDE,02100123002400,Societal Re-orientation - General
